,date,tavg,tmin,tmax,prcp,snow,wspd
0,2019-01-01,10.4,4.7,14.5,2.4,0.0,24.1
1,2019-01-02,3.6,1.7,5.1,0.0,0.0,11.7
2,2019-01-03,5.1,1.1,7.5,0.0,0.0,14.7
3,2019-01-04,3.5,0.1,7.5,0.0,0.0,14.7
4,2019-01-05,6.8,5.2,8.0,13.1,0.0,17.0
5,2019-01-06,6.5,-0.1,10.5,0.0,0.0,23.2
6,2019-01-07,-0.7,-3.5,1.5,0.0,0.0,14.9
7,2019-01-08,3.6,1.4,7.2,4.0,0.0,7.8
8,2019-01-09,6.0,1.3,8.0,1.4,0.0,28.0
9,2019-01-10,1.0,-1.8,2.2,0.0,0.0,34.9
10,2019-01-11,-2.3,-5.6,0.7,0.0,0.0,23.4
11,2019-01-12,-3.1,-6.4,1.8,0.0,0.0,9.9
12,2019-01-13,-1.7,-4.6,0.6,0.0,0.0,17.7
13,2019-01-14,-2.6,-5.2,1.3,0.0,0.0,17.1
14,2019-01-15,-1.4,-5.2,3.0,0.0,0.0,9.5
15,2019-01-16,0.0,-3.8,4.0,0.0,0.0,17.8
16,2019-01-17,-0.8,-4.1,1.1,0.0,0.0,12.6
17,2019-01-18,0.5,-2.0,3.7,0.7,13.3,11.5
18,2019-01-19,1.6,-1.3,3.5,11.0,0.0,13.2
19,2019-01-20,2.4,-10.0,7.2,29.0,0.0,28.7
20,2019-01-21,-11.1,-14.9,-8.9,0.0,0.0,34.7
21,2019-01-22,-7.0,-10.1,-0.1,0.0,0.0,14.8
22,2019-01-23,1.2,-2.0,9.1,0.0,0.0,14.6
23,2019-01-24,10.1,1.8,13.7,29.3,0.0,26.4
24,2019-01-25,2.3,-2.2,4.4,0.0,0.0,23.2
25,2019-01-26,-1.7,-5.2,1.5,0.0,0.0,12.5
26,2019-01-27,2.8,-2.7,9.1,0.0,0.0,19.0
27,2019-01-28,0.1,-4.7,3.6,0.0,0.0,16.2
28,2019-01-29,-0.7,-5.4,5.9,5.0,0.0,13.7
29,2019-01-30,-2.4,-14.1,1.4,2.8,0.0,27.7
30,2019-01-31,-12.6,-16.0,-8.0,0.0,0.0,23.0
31,2019-02-01,-9.1,-11.6,-5.5,0.0,0.0,12.9
32,2019-02-02,-5.4,-9.4,0.9,0.0,0.0,18.8
33,2019-02-03,2.4,-3.4,11.0,0.0,0.0,10.3
34,2019-02-04,5.4,-0.4,14.1,0.0,0.0,6.1
35,2019-02-05,7.8,1.6,18.0,0.0,0.0,10.3
36,2019-02-06,6.0,1.3,8.0,13.1,0.0,14.3
37,2019-02-07,5.2,4.0,6.8,2.7,0.0,13.6
38,2019-02-08,6.7,0.2,12.9,8.2,0.0,21.5
39,2019-02-09,-0.6,-4.1,1.4,0.0,0.0,26.3
40,2019-02-10,-1.8,-5.2,2.4,0.0,0.0,13.4
41,2019-02-11,0.9,-1.6,3.1,0.0,0.0,10.5
42,2019-02-12,-0.3,-3.0,2.4,21.1,0.0,21.3
43,2019-02-13,2.7,0.7,5.5,1.2,30.0,24.6
44,2019-02-14,3.1,0.4,7.8,0.0,0.0,18.8
45,2019-02-15,8.2,4.2,14.9,0.0,0.0,17.0
46,2019-02-16,6.0,-0.0,10.1,0.0,0.0,20.6
47,2019-02-17,-0.0,-4.2,2.4,1.2,0.0,12.7
48,2019-02-18,2.4,-2.9,6.3,2.3,0.0,18.9
49,2019-02-19,-1.5,-4.7,2.9,0.0,0.0,17.9
50,2019-02-20,-1.7,-3.2,0.8,19.5,0.0,10.5
51,2019-02-21,3.9,0.3,10.9,3.6,30.0,17.4
52,2019-02-22,6.0,2.6,7.3,0.0,0.0,17.3
53,2019-02-23,2.5,-0.5,4.4,0.3,0.0,11.3
54,2019-02-24,5.3,3.0,8.2,21.6,0.0,23.3
55,2019-02-25,4.9,-1.9,6.4,0.0,0.0,41.1
56,2019-02-26,-0.2,-3.4,4.3,0.0,0.0,24.6
57,2019-02-27,-2.9,-4.3,-0.7,0.0,0.0,13.1
58,2019-02-28,-0.1,-2.4,3.3,0.4,0.0,17.5
59,2019-03-01,-0.3,-2.9,2.4,1.1,16.7,14.6
60,2019-03-02,1.4,-0.5,5.0,13.5,91.1,15.9
61,2019-03-03,3.3,0.0,5.8,15.8,30.0,11.4
62,2019-03-04,1.4,-1.6,3.9,8.2,77.8,22.4
63,2019-03-05,-2.2,-5.9,0.3,0.0,13.3,19.5
64,2019-03-06,-4.3,-7.1,-2.1,0.0,13.3,23.0
65,2019-03-07,-4.3,-8.6,0.3,0.0,0.0,18.6
66,2019-03-08,-1.4,-6.1,3.4,0.0,0.0,8.4
67,2019-03-09,3.6,0.6,8.9,0.0,0.0,10.5
68,2019-03-10,3.9,2.0,6.1,20.7,0.0,17.0
69,2019-03-11,8.0,4.1,12.6,0.0,0.0,23.7
70,2019-03-12,4.9,1.2,7.4,0.0,0.0,22.2
71,2019-03-13,2.8,-1.9,7.1,0.0,0.0,10.2
72,2019-03-14,7.3,4.6,11.7,0.0,0.0,13.4
73,2019-03-15,12.7,7.7,20.6,9.2,0.0,23.7
74,2019-03-16,10.7,2.8,13.6,0.0,0.0,30.7
75,2019-03-17,4.1,0.1,7.8,0.0,0.0,16.9
76,2019-03-18,3.3,-1.0,7.8,0.0,0.0,10.8
77,2019-03-19,4.7,-0.3,10.1,0.0,0.0,11.8
78,2019-03-20,5.4,0.7,10.7,0.0,0.0,11.3
79,2019-03-21,7.1,5.4,8.8,21.2,0.0,18.3
80,2019-03-22,7.1,3.8,10.3,12.7,0.0,30.5
81,2019-03-23,5.3,1.5,10.2,0.0,0.0,30.9
82,2019-03-24,7.9,1.4,15.4,0.0,0.0,17.5
83,2019-03-25,10.7,5.6,12.2,0.0,0.0,15.9
84,2019-03-26,5.5,0.0,9.5,0.0,0.0,23.9
85,2019-03-27,3.8,-0.1,7.0,0.0,0.0,13.3
86,2019-03-28,5.0,0.6,10.2,0.0,0.0,13.8
87,2019-03-29,9.8,7.5,13.8,0.0,0.0,10.3
88,2019-03-30,12.7,9.4,18.2,0.0,0.0,16.7
89,2019-03-31,11.7,3.9,16.1,1.7,0.0,26.4
90,2019-04-01,4.7,0.2,8.8,0.0,0.0,22.4
91,2019-04-02,5.5,0.7,9.7,0.6,0.0,15.1
92,2019-04-03,10.1,4.4,19.2,0.1,0.0,30.6
93,2019-04-04,11.4,5.3,16.4,0.0,0.0,21.4
94,2019-04-05,5.7,3.6,6.1,5.0,0.0,15.4
95,2019-04-06,8.9,4.1,19.1,0.0,0.0,13.0
96,2019-04-07,13.1,8.0,16.3,0.0,0.0,11.7
97,2019-04-08,15.4,9.8,23.7,6.7,0.0,14.6
98,2019-04-09,10.3,6.7,10.1,0.4,0.0,11.9
99,2019-04-10,11.0,6.1,16.2,0.0,0.0,19.5
100,2019-04-11,7.2,3.3,10.1,0.0,0.0,12.2
101,2019-04-12,11.0,7.5,19.1,14.9,0.0,16.7
102,2019-04-13,16.8,14.1,23.7,6.4,0.0,17.7
103,2019-04-14,16.4,12.5,20.1,0.3,0.0,10.7
104,2019-04-15,14.3,8.0,18.6,20.0,0.0,30.4
105,2019-04-16,11.1,4.5,19.2,0.0,0.0,26.9
106,2019-04-17,12.1,9.0,15.0,0.0,0.0,13.7
107,2019-04-18,11.7,10.1,16.3,0.0,0.0,20.3
108,2019-04-19,17.8,15.2,24.2,1.2,0.0,26.6
109,2019-04-20,16.3,11.9,18.7,13.5,0.0,18.8
110,2019-04-21,13.6,11.0,17.6,0.1,0.0,12.8
111,2019-04-22,14.0,10.3,17.7,6.7,0.0,14.7
112,2019-04-23,17.2,13.3,23.5,0.2,0.0,12.3
113,2019-04-24,18.5,13.0,21.5,0.4,0.0,17.6
114,2019-04-25,13.1,8.0,16.0,0.6,0.0,11.7
115,2019-04-26,12.9,11.1,15.9,24.0,0.0,17.8
116,2019-04-27,13.2,8.7,16.7,0.7,0.0,27.2
117,2019-04-28,10.6,7.5,13.1,0.1,0.0,14.0
118,2019-04-29,9.5,3.9,14.1,0.6,0.0,13.6
119,2019-04-30,11.3,9.2,16.6,1.3,0.0,7.9
120,2019-05-01,11.8,9.9,12.6,0.4,0.0,11.8
121,2019-05-02,13.6,10.1,23.6,4.0,0.0,12.2
122,2019-05-03,11.5,9.7,13.6,2.5,0.0,8.0
123,2019-05-04,14.3,11.9,19.7,2.1,0.0,7.3
124,2019-05-05,12.9,10.9,14.1,38.8,0.0,17.1
125,2019-05-06,14.1,10.7,21.1,0.1,0.0,13.4
126,2019-05-07,15.2,11.6,20.7,3.0,0.0,12.5
127,2019-05-08,16.4,12.7,21.1,0.0,0.0,12.1
128,2019-05-09,13.2,11.6,14.2,0.0,0.0,18.9
129,2019-05-10,16.2,12.6,23.2,0.6,0.0,15.9
130,2019-05-11,17.8,13.8,21.5,0.7,0.0,13.7
131,2019-05-12,11.0,6.7,14.4,33.0,0.0,21.6
132,2019-05-13,8.0,6.3,9.8,19.2,0.0,16.1
133,2019-05-14,8.7,6.7,10.9,5.3,0.0,10.6
134,2019-05-15,12.8,7.4,20.9,0.5,0.0,15.0
135,2019-05-16,16.9,11.1,22.2,1.1,0.0,12.2
136,2019-05-17,18.8,13.2,24.5,3.1,0.0,13.4
137,2019-05-18,19.1,13.9,23.9,0.0,0.0,14.9
138,2019-05-19,18.6,14.5,25.2,2.4,0.0,16.1
139,2019-05-20,23.4,18.6,30.7,0.0,0.0,20.2
140,2019-05-21,19.9,14.4,23.2,0.0,0.0,26.5
141,2019-05-22,18.5,13.0,24.3,0.0,0.0,13.4
142,2019-05-23,17.5,13.1,22.4,11.8,0.0,15.9
143,2019-05-24,21.1,16.4,24.8,0.0,0.0,25.2
144,2019-05-25,17.2,12.9,20.1,0.0,0.0,17.4
145,2019-05-26,21.2,15.7,30.8,4.5,0.0,15.8
146,2019-05-27,23.0,17.8,27.5,0.0,0.0,15.0
147,2019-05-28,19.5,17.0,22.9,12.2,0.0,12.5
148,2019-05-29,19.0,14.0,22.6,13.0,0.0,12.6
149,2019-05-30,15.7,14.0,19.2,21.2,0.0,9.2
150,2019-05-31,21.3,16.7,27.6,0.0,0.0,14.6
151,2019-06-01,21.2,17.2,25.8,0.0,0.0,9.9
152,2019-06-02,21.7,17.4,27.6,8.3,0.0,12.3
153,2019-06-03,19.1,14.2,22.7,0.0,0.0,18.6
154,2019-06-04,17.5,12.2,22.4,0.0,0.0,16.5
155,2019-06-05,20.9,17.0,26.7,1.8,0.0,19.8
156,2019-06-06,24.2,19.8,29.7,7.0,0.0,14.0
157,2019-06-07,22.4,17.4,26.2,0.0,0.0,9.3
158,2019-06-08,21.0,16.5,26.6,0.0,0.0,14.5
159,2019-06-09,19.7,14.7,24.4,0.0,0.0,16.7
160,2019-06-10,18.0,14.9,20.8,16.4,0.0,15.3
161,2019-06-11,21.7,18.3,26.5,4.8,0.0,20.6
162,2019-06-12,19.9,14.6,23.2,0.0,0.0,14.2
163,2019-06-13,17.3,14.2,19.5,16.4,0.0,15.9
